qnrnumb;visit;howoft;likenet;research;safeweb;goodtool;notouse;another;likeproc;hassle;visits;friend;billbrd;banner;surfing;sengine;tv;theater;nwspaper;other;easyuse;helpful;positive;useonly;influenc;secure;didbuy;better;howmuch;safe;wanttest;price;tradein;handson;checkit;noweeks;worth;sticker;actual;age;marital;children;educate;race;income;gender
49;1;3;2;4;3;3;3;1;3;5;3;0;0;0;1;0;1;0;0;0;5;3;4;1;4;5;2; ; ;4;4;4;5;3;1;7;9000;14000;12000;47;2;1;6;2;7;1
50;1;1;2;2;1;1;4;4;4;5;5;0;0;0;0;0;0;0;0;0;2;2;4;2;5;4;2; ; ;2;4;1;1;2;1;2; ;10000;8000;34;1; ;4;1;1;2
51;1;4;4;5;4;3;1;1;3;3;11;0;0;0;1;1;0;0;0;0;5;2;2;1;4;5;2; ; ;3;5;5;4;4;2;10;12000;16000;15000;32;1; ;6;3;7;2
52;1;3;3;3;3;2;5;4;3;5;5;0;0;0;1;1;1;0;0;0;1;2;3;1;5;5;1;1;1;2;5;4;5;4;4;1;10000;13000;10000;28;1; ;3;1;5;1
53;1;2;3;2;3;2;3;1;1;5;3;0;0;0;0;1;0;0;0;0;5;4;5;1;5;5;1;1;1;4;5;1;4;5;1;7;1000;10000;7000;32;4;2;4;2;1;2
54;1;2;2;3;2;1;5;2;2;3;5;0;0;0;0;0;0;0;0;0;1;3;1;2;4;4;2; ; ;5;3;1;1;4;2;7;3000;10000;8000;28;1; ;2;2;1;1
55;1;3;3;3;3;3;4;2;1;3;8;0;0;0;1;0;0;0;0;0;5;2;3;1;5;3;1;1;1;3;5;2;3;4;2;1;14000;19000;16000;30;2;1;5;1;7;1
56;1;2;2;3;2;4;1;1;1;3;6;0;0;0;0;1;0;0;0;0;1;1;4;1;4;3;2; ; ;5;5;1;1;5;1;4;7000;11000;9000;40;3;2;3;1;2;1
57;1;5;5;2;5;5;3;1;2;5;13;0;0;1;0;1;0;0;0;0;3;4;4;1;4;5;2; ; ;4;5;3;5;3;1;3;7000;12000;10000;27;1; ;5;1;1;1
58;1;1;1;2;1;1;4;2;1;1;2;0;0;0;1;1;1;0;0;0;4;3;4;2;5;4;1;1;1;4;3;1;5;3;2;3;5000;12000;9000;42;2;2;1;1;3;1
59;1;3;3;4;3;4;5;3;1;5;6;1;1;0;0;0;0;0;1;0;4;3;4;3;4;4;2; ; ;5;5;1;2;5;3;5;5000;10000;8000;35;4;3;5;1;1;1
60;1;4;4;4;4;3;3;2;1;4;5;0;0;0;0;1;0;0;0;1;4;4;4;3;4;3;2; ; ;5;5;5;5;5;2;4;6000;11000;9000;41;1; ;2;2;5;1
61;1;4;3;5;4;4;2;3;1;4;5;0;0;0;1;0;0;0;0;0;3;3;5;3;4;5;1;1;2;4;5;3;1;4;1;1;13000;19000;15000;34;1; ;4;1;5;1
62;1;5;5;2;5;5;2;3;2;5;13;0;0;0;0;0;0;0;0;0;4;3;4;2;3;5;2; ; ;3;5;5;2;2;1;5;13000;19000;17000;33;2;3;4;5;6;1
63;1;2;2;3;2;3;1;2;1;2;6;0;0;0;1;1;0;0;1;0;3;3;4;3;5;5;1;1;2;5;5;1;3;4;1;7;16000;20000;17000;32;1; ;5;1;7;2
64;1;2;2;3;2;1;5;2;5;1;4;0;0;0;1;1;1;0;0;1;5;5;3;2;5;4;2; ; ;2;3;5;1;5;3;4;19000;26000;24000;52;2;2;5;1;7;1
65;1;2;2;3;2;2;4;3;2;2;6;0;0;0;0;1;0;0;0;0;3;4;4;5;5;5;1;1;2;1;4;1;1;5;1;1;6000;11000;8000;42;2;2;5;1;3;1
66;1;5;5;2;5;4;1;1;1;2;15;0;0;0;1;1;0;0;0;0;4;3;4;2;3;3;2; ; ;1;5;4;1;2;1;5;8000;12000;10000;29;4;1;3;2;4;1
67;1;4;4;4;5;3;1;1;3;4;7;0;0;0;1;0;0;0;0;0;1;4;2;2;3;5;2; ; ;5;5;3;5;2;1;5;13000;18000;16000;35;2;2;3;1;4;1
68;1;4;4;4;4;5;4;1;1;5;10;0;0;0;1;0;0;0;0;0;5;3;3;1;4;4;2; ; ;2;3;5;2;4;2;5;13000;19000;17000;21;4;1;3;5;5;2
69;1;1;1;2;1;1;3;2;3;1;5;1;0;1;0;1;0;0;1;0;5;3;4;3;4;4;2; ; ;1;5;4;5;2;1;3;15000;21000;19000;35;2;2;5;2;7;2
70;1;2;2;2;2;2;4;1;4;3;8;0;0;0;1;1;0;0;0;0;3;4;4;1;4;5;2; ; ;5;4;2;1;4;1;5;18000;21000;18000;35;2;1;5;1;6;1
71;1;5;5;3;5;5;2;3;1;3;9;0;0;1;0;0;1;1;0;0;5;4;3;1;5;5;2; ; ;3;5;2;4;5;2;5;11000;18000;16000;35;2;3;5;1;7;1
72;1;3;2;3;3;3;1;3;1;4;8;0;0;0;0;1;0;0;0;0;5;3;4;2;4;4;2; ; ;4;5;5;1;5;2;5;12000;17000;15000;34;1; ;3;1;4;1
73;1;2;2;2;2;2;1;2;1;5;1;0;0;0;0;1;0;0;0;0;2;4;4;1;4;5;2; ; ;4;5;2;2;5;1;3;5000;10000;8000;54;1; ;6;6;2;1
74;1;2;3;3;2;2;3;1;1;4;5;0;0;0;0;1;0;0;0;0;5;5;3;4;5;4;1;1;1;1;5;2;5;5;1;7;14000;19000;16000;22;1; ;3;2;5;1
75;1;3;2;3;2;5;4;2;1;5;12;0;0;0;0;1;1;0;0;0;4;3;2;1;4;4;2; ; ;5;5;5;5;3;1;4;10000;14000;12000;30;2;1;5;2;7;1
76;1;1;1;1;2;1;5;4;2;5;1;0;0;0;0;1;1;0;0;0;5;2;3;5;4;4;2; ; ;4;4;1;5;3;1;3;8000;14000;13000;47;1; ;4;1;6;1
77;1;3;3;3;3;4;4;2;1;2;9;0;0;0;0;1;1;0;0;0;5;3;2;1;3;4;2; ; ;1;4;1;1;5;2;7;20000;25000;24000;49;1; ;3;3;5;1
78;1;1;1;1;1;1;5;2;1;3;2;0;0;0;0;1;1;0;0;0;2;2;1;3;5;4;2; ; ;3;5;5;4;5;1;6;13000;17000;15000;34;1; ;3;1;4;1
79;1;4;4;4;4;1;5;3;1;3;10;0;0;0;1;1;0;0;0;0;5;4;3;3;3;5;2; ; ;4;3;1;1;4;2;5;23000;26000;24000;40;2;1;5;1;7;1
80;1;3;3;4;3;2;4;3;1;2;7;0;0;0;0;1;0;0;0;0;1;2;2;4;3;4;2; ; ;4;5;3;2;5;1;5;12000;18000;16000;37;2;1;4;1;5;1
81;1;4;4;5;4;1;3;2;3;5;6;1;0;1;1;1;0;0;0;0;4;3;4;2;4;5;2; ; ;1;5;5;3;3;1;4;22000;27000;25000;43;2;1;5;2;7;1
82;1;4;3;4;4;5;1;1;1;3;9;0;0;0;0;1;1;0;0;0;5;3;2;1;3;3;2; ; ;2;3;1;1;5;2;4;11000;15000;13000;32;2;0;6;1;7;1
83;1;3;2;3;3;3;4;1;1;4;6;1;0;0;0;0;1;0;0;0;1;4;4;4;5;5;1;1;1;5;4;2;2;3;1;3;6000;10000;7000;33;2;4;5;1;6;1
84;1;5;5;3;5;4;1;1;3;2;10;0;0;0;1;0;0;0;0;0;5;3;2;4;4;4;2; ; ;5;5;1;1;4;1;2;15000;18000;16000;30;4;2;4;1;5;1
85;1;1;2;1;1;2;3;3;5;2;1;0;0;0;1;0;0;0;0;0;3;3;1;5;5;3;2; ; ;5;5;2;5;5;1;5;17000;22000;19000;25;2;3;5;1;7;1
86;1;2;2;2;2;2;2;1;3;5;8;0;0;0;0;0;1;0;0;0;1;3;3;1;4;4;2; ; ;3;5;5;1;3;1;1;19000;22000;20000;42;1; ;3;1;5;1
87;1;2;1;2;2;2;3;2;1;5;4;0;0;0;1;0;1;0;0;0;3;4;2;1;3;4;2; ; ;3;4;2;3;4;4;1;8000;11000;9000;23;4;2;3;1;5;1
88;1;5;5;5;4;4;4;3;1;1;10;0;0;0;1;0;0;0;0;0;5;2;3;3;4;3;2; ; ;1;5;2;4;4;2;1;4000;10000;8000;30;2;3;3;1;2;1
89;1;3;3;4;3;3;4;1;1;4;6;0;0;0;1;1;0;0;0;0;3;5;3;1;4;5;2; ; ;5;4;4;5;5;3;4;17000;23000;21000;47;4;0;5;1;7;2
90;1;3;2;3;3;4;3;4;1;5;7;0;0;0;1;0;0;0;0;0;3;4;3;4;4;5;2; ; ;2;4;1;5;4;1;4;17000;21000;19000;44;2;1;5;3;7;1
91;1;5;4;2;5;4;4;4;5;2;13;0;0;0;0;1;1;0;0;0;5;5;4;1;3;5;2; ; ;3;5;1;5;5;2;4;14000;19000;17000;35;2;1;5;2;6;1
92;1;3;2;3;3;3;2;2;2;1;10;0;0;1;0;1;0;0;0;0;1;5;4;1;4;4;2; ; ;5;5;5;3;3;2;4;7000;14000;12000;40;1; ;4;1;6;1
93;1;5;5;5;5;5;1;2;1;1;10;0;0;0;1;1;0;0;0;1;3;2;5;3;5;5;1;1;1;1;5;3;5;5;1;3;12000;17000;13000;34;2;4;4;1;6;1
94;1;1;1;2;1;3;2;1;4;4;5;0;0;0;1;0;0;0;0;0;2;2;4;4;4;5;1;1;2;1;5;1;1;3;1;2; ;10000;6000;29;1; ;1;2;1;2
95;1;1;1;2;1;1;5;2;1;2;1;0;0;0;1;0;0;0;0;0;3;3;4;5;4;4;1;1;3;4;5;1;1;4;1;7;16000;20000;16000;25;2;4;6;1;7;1
96;1;4;3;4;4;4;1;2;5;5;11;0;0;0;0;0;1;0;0;0;3;5;3;5;5;4;1;1;4;5;4;4;4;3;3;3;10000;14000;10000;36;4;0;3;1;5;1
97;1;2;3;2;2;2;3;2;2;1;6;0;0;0;1;1;0;0;0;0;5;3;4;4;4;5;2; ; ;2;4;3;1;3;1;1;9000;13000;11000;43;4;2;3;1;6;1
98;1;3;3;3;3;3;5;1;1;2;7;0;0;0;1;1;0;0;0;0;4;4;5;2;5;4;1;1;2;1;5;2;5;4;1;3;12000;17000;14000;61;1; ;1;1;3;1
99;1;3;3;3;3;3;5;2;3;5;10;0;0;0;0;1;0;0;0;0;4;3;3;2;3;4;2; ; ;4;4;2;4;4;1;8; ;10000;7000;37;1; ;2;2;3;1
100;1;1;2;1;1;2;3;3;1;1;1;0;0;1;0;0;1;0;0;0;5;4;4;1;4;4;2; ; ;4;4;2;5;3;1;6;7000;11000;9000;42;1; ;2;1;4;1
101;1;4;4;4;4;4;3;3;1;1;9;0;0;0;1;1;0;0;0;0;4;4;3;3;4;5;2; ; ;3;5;5;1;4;1;1;11000;18000;15000;28;1; ;2;2;3;1
102;1;3;2;4;3;4;1;2;2;3;7;0;0;0;1;0;0;0;0;1;5;4;4;5;3;5;2; ; ;3;4;5;1;4;3;3;10000;14000;12000;37;4;2;4;1;5;1
103;1;4;4;5;4;4;5;4;1;5;6;0;0;0;1;1;0;0;0;0;5;2;3;4;4;5;2; ; ;2;4;2;5;3;2;6;22000;26000;24000;31;2;2;4;1;6;1
104;1;2;2;3;3;2;4;1;1;1;5;1;0;0;0;1;1;0;0;0;1;3;3;3;5;4;1;1;1;3;5;1;1;4;1;1;1000;10000;6000;51;5;1;2;1;2;2
105;1;3;3;4;3;4;3;2;2;5;6;0;0;0;0;1;0;0;0;0;5;2;3;5;5;5;2; ; ;2;5;3;5;4;1;7;5000;10000;8000;35;1; ;2;1;4;1
106;1;2;2;2;2;2;1;1;1;1;5;0;0;0;1;1;0;0;0;0;5;5;2;1;3;4;2; ; ;1;5;5;1;5;2;4;4000;10000;9000;44;1; ;3;1;6;1
107;1;3;3;4;3;3;2;1;1;5;9;0;0;0;0;1;1;0;0;0;2;2;4;1;5;4;1;1;1;4;4;3;2;5;1;2;17000;23000;20000;33;1; ;3;2;4;1
108;1;1;3;2;1;3;3;2;3;4;5;0;0;0;0;1;0;0;0;0;4;4;1;2;3;4;2; ; ;3;5;1;5;5;2;4;1000;10000;8000;33;2;0;6;1;1;2
109;1;3;3;4;3;2;4;1;1;1;6;0;0;0;0;1;1;0;1;0;2;4;3;2;4;4;2; ; ;5;4;1;5;5;1;8;11000;15000;13000;23;1; ;2;1;4;1
110;1;4;4;5;4;3;3;2;1;3;7;0;0;1;1;1;1;0;0;0;1;3;4;1;3;5;2; ; ;5;5;3;2;3;1;4;2000;10000;7000;34;1; ;3;1;4;1
111;1;1;4;1;1;1;5;4;2;4;3;0;0;0;0;1;1;0;0;0;5;3;3;2;3;5;2; ; ;3;3;5;1;5;3;1;18000;24000;23000;38;4;2;3;1;5;1
112;1;5;4;3;5;1;5;2;1;2;9;0;0;1;0;0;0;0;0;0;2;4;3;2;5;5;1;2; ;1;4;1;1;3;2;1;9000;14000;11000;34;2;0;5;1;6;1
113;1;3;3;3;3;3;5;1;1;3;8;0;0;0;0;1;1;0;1;0;5;2;2;3;3;5;2; ; ;5;5;1;4;5;2;3;6000;12000;10000;47;4;1;3;1;6;1
114;1;1;1;1;1;1;3;3;2;2;4;0;0;0;1;1;1;0;0;0;5;4;4;2;4;4;2; ; ;2;5;2;5;4;2;1;13000;20000;18000;41;2;1;6;1;7;1
115;1;3;3;3;3;2;4;4;2;5;5;0;0;0;1;0;0;0;0;0;5;4;3;1;4;5;2; ; ;4;4;2;1;4;1;5;5000;10000;8000;38;4;0;2;3;4;1
116;1;2;2;3;2;1;5;1;1;5;6;0;0;0;0;0;0;0;0;0;3;4;3;1;4;4;2; ; ;1;5;1;1;5;3;2;17000;20000;18000;35;2;2;4;5;5;2
117;1;1;2;1;2;1;5;1;1;3;6;0;0;0;0;0;0;0;0;0;5;3;4;1;5;3;2; ; ;5;5;1;5;3;2;6;4000;10000;8000;32;1; ;1;1;2;1
118;1;3;2;3;3;3;3;2;3;5;11;0;0;0;0;0;0;0;0;0;3;5;3;1;4;3;2; ; ;5;5;1;5;2;2;1;9000;15000;14000;45;1; ;3;1;5;1
119;1;5;3;1;5;1;4;2;1;5;10;0;0;1;1;1;0;0;0;0;3;5;1;2;4;5;2; ; ;1;5;5;5;3;1;1;8000;13000;11000;32;2;1;4;1;6;1
120;1;2;2;3;2;3;2;3;1;5;2;0;0;1;0;1;1;0;0;0;3;2;4;2;4;5;2; ; ;5;5;4;2;5;1;6;19000;22000;20000;26;2;2;6;2;7;2
121;1;1;2;2;1;1;3;1;1;3;1;0;0;0;1;0;0;0;0;0;2;2;3;2;3;4;2; ; ;1;5;1;2;3;1;6;9000;14000;12000;44;1; ;6;1;2;1
122;1;2;2;2;2;2;5;2;5;3;6;0;0;0;0;1;1;0;0;0;5;2;5;1;4;4;1;1;2;5;4;1;5;2;1;1;8000;13000;9000;41;1; ;5;1;2;1
123;1;3;2;4;4;3;2;4;1;4;7;0;0;0;0;1;0;0;0;0;1;4;4;2;4;4;2; ; ;2;5;3;4;4;1;1;7000;11000;8000;36;1; ;3;1;5;1
124;1;3;3;3;3;4;5;3;1;4;2;0;0;1;1;1;0;0;0;0;5;2;4;3;3;5;2; ; ;2;5;5;1;3;2;1;1000;10000;8000;29;1; ;1;1;1;1
125;1;4;4;4;4;4;3;1;1;4;9;0;0;0;0;1;0;0;0;0;5;4;3;2;4;4;2; ; ;2;2;5;5;5;1;6;12000;17000;15000;31;1; ;2;1;4;1
126;1;1;1;2;1;2;1;3;1;3;1;0;0;0;0;1;0;0;0;0;5;2;2;2;4;5;2; ; ;4;4;5;2;4;2;5;18000;23000;21000;25;2;0;6;1;7;1
127;1;2;2;3;2;2;3;4;2;2;4;0;0;0;0;1;1;0;0;0;5;3;4;1;4;3;2; ; ;2;5;1;1;4;1;1; ;10000;8000;21;1; ;1;2;1;1
128;1;4;4;4;4;5;3;2;2;4;11;0;0;0;0;1;0;0;0;0;2;3;3;2;5;5;2; ; ;3;5;5;1;5;1;3;13000;19000;17000;37;2;1;5;2;7;1
129;1;3;3;4;3;2;3;2;2;5;6;0;0;0;1;1;0;0;0;0;2;5;2;1;4;5;2; ; ;1;4;2;5;5;2;3;6000;10000;9000;29;1; ;6;1;1;2
130;1;5;5;2;5;5;4;3;2;4;10;0;0;0;0;1;1;0;0;0;2;5;4;1;4;4;2; ; ;1;4;1;4;4;1;3;9000;14000;11000;27;1; ;3;3;5;1
131;1;2;2;3;2;2;5;3;1;5;7;0;0;0;1;0;0;0;0;0;5;5;2;2;3;4;2; ; ;1;5;1;1;5;3;9;9000;14000;11000;31;1; ;3;1;5;2
132;1;3;3;4;3;3;4;2;1;1;9;0;0;1;0;1;0;0;1;0;5;2;4;3;5;5;1;1;1;3;5;5;2;5;1;2;9000;14000;11000;36;1; ;2;1;4;1
133;1;4;3;4;4;3;3;1;3;5;6;0;0;0;1;1;1;0;0;0;5;5;3;1;3;5;2; ; ;1;5;4;3;4;1;3;3000;10000;8000;37;2;2;6;1;2;1
134;1;2;2;3;2;3;4;1;4;5;2;0;0;0;0;0;1;0;0;0;5;4;4;1;5;3;2; ; ;1;5;1;4;4;1;6;10000;13000;11000;42;1; ;2;1;4;1
135;1;5;4;5;5;4;2;3;1;5;10;0;0;1;0;1;0;0;0;0;1;4;3;1;4;5;2; ; ;5;4;1;1;5;3;6;11000;16000;13000;41;2;1;3;1;6;1
136;1;5;5;3;5;4;1;2;3;5;13;0;0;0;1;0;1;0;0;0;5;3;4;2;4;3;2; ; ;5;4;1;3;4;1;4;12000;17000;15000;45;2;2;5;1;7;1
137;1;2;1;2;1;1;5;2;1;5;6;0;0;0;0;0;0;0;0;0;1;4;2;2;4;4;2; ; ;2;4;1;5;4;2;2; ;11000;8000;35;2;0;3;1;1;2
138;1;2;2;2;2;3;3;2;3;3;5;0;0;0;0;0;0;0;0;0;4;3;3;1;3;4;2; ; ;5;5;1;3;3;3;10;5000;11000;9000;31;2;3;1;2;2;1
139;1;3;3;3;3;3;2;1;1;4;9;0;0;1;1;1;0;0;0;0;2;4;3;2;4;4;2; ; ;5;5;5;5;4;3;2;11000;15000;13000;34;1; ;5;1;1;2
140;1;1;1;2;1;1;5;4;5;1;3;0;0;0;0;0;0;0;0;0;5;4;5;4;4;4;1;1;2;2;4;4;3;3;1;3;11000;17000;14000;38;1; ;4;1;5;2
