qnrnumb;visit;howoft;likenet;research;safeweb;goodtool;notouse;another;likeproc;hassle;visits;friend;billbrd;banner;surfing;sengine;tv;theater;nwspaper;other;easyuse;helpful;positive;useonly;influenc;secure;didbuy;better;howmuch;safe;wanttest;price;tradein;handson;checkit;noweeks;worth;sticker;actual;age;marital;children;educate;race;income;gender
19;Yes;Very often;Strongly Disagree;Neutral;Strongly Agree;Agree;Strongly Disagree;Agree;Disagree;Strongly Disagree;11;Yes;No;No;Yes;Yes;Yes;No;No;No;Strongly Agree;Strongly Agree;Agree;Agree;Neutral;Strongly Agree;No; ; ;Agree;Agree;Disagree;Strongly Disagree;Strongly Agree;Disagree;1;7000;13000;12000;27;Married;2;Some college;Black;$35,000 - $50,000;Male
20;Yes;Occasionally;Agree;Agree;Neutral;Neutral;Strongly Disagree;Neutral;Strongly Disagree;Neutral;6;No;Yes;Yes;No;No;No;No;No;No;Agree;Strongly Agree;Agree;Strongly Disagree;Agree;Agree;No; ; ;Strongly Agree;Agree;Strongly Disagree;Neutral;Agree;Strongly Disagree;4;4000;10000;8000;34;Single; ;Other;Caucasian;$35,000 - $50,000;Male
21;Yes;Occasionally;Disagree;Agree;Neutral;Neutral;Strongly Disagree;Disagree;Disagree;Strongly Agree;4;No;No;No;No;No;No;No;No;No;Strongly Agree;Agree;Agree;Agree;Neutral;Agree;No; ; ;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;2;20000;25000;23000;23;Married;1;Graduate degree;Caucasian;Over $110,000;Female
22;Yes;Occasionally;Neutral;Agree;Neutral;Agree;Disagree;Disagree;Strongly Disagree;Neutral;10;No;No;No;Yes;Yes;Yes;No;No;No;Strongly Disagree;Neutral;Strongly Disagree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Agree;Neutral;5;6000;10000;9000;56;Married;2;Undergraduate degree;Caucasian;Over $110,000;Male
23;Yes;Almost never;Disagree;Disagree;Disagree;Strongly Disagree;Strongly Agree;Neutral;Disagree;Strongly Disagree;3;No;No;No;No;No;No;No;No;No;Neutral;Neutral;Neutral;Strongly Disagree;Neutral;Agree;No; ; ;Disagree;Strongly Agree;Strongly Agree;Disagree;Agree;Strongly Disagree;5;14000;21000;19000;41;Divorced;1;High school;Caucasian;$80,000 - $95,000;Male
24;Yes;Often;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;10;No;No;Yes;No;No;No;No;No;No;Agree;Agree;Neutral;Neutral;Agree;Strongly Agree;No; ; ;Strongly Disagree;Agree;Strongly Disagree;Neutral;Agree;Strongly Disagree;7;13000;18000;16000;25;Married;1;Graduate degree;Asian;$95,000 - $110,000;Male
25;Yes;Very often;Strongly Agree;Neutral;Strongly Agree;Agree;Strongly Disagree;Strongly Agree;Neutral;Strongly Disagree;10;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Strongly Disagree;Neutral;Disagree;Agree;Agree;No; ; ;Agree;Agree;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;1;11000;16000;14000;30;Married;2;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
26;Yes;Very often;Agree;Strongly Agree;Strongly Agree;Neutral;Strongly Agree;Disagree;Neutral;Strongly Agree;11;No;No;No;No;Yes;Yes;No;No;No;Agree;Agree;Neutral;Neutral;Agree;Strongly Agree;No; ; ;Strongly Agree;Agree;Strongly Disagree;Neutral;Strongly Agree;Disagree;3;3000;10000;8000;26;Single; ;Some college;Caucasian;$65,000 - $80,000;Male
27;Yes;Occasionally;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Strongly Disagree;Agree;7;No;No;No;Yes;No;No;No;No;No;Strongly Agree;Neutral;Neutral;Neutral;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;1;2000;10000;8000;34;Single; ;Less than high school;Caucasian;$50,000 - $65,000;Male
28;Yes;Often;Strongly Agree;Agree;Agree;Agree;Disagree;Neutral;Agree;Neutral;12;No;No;No;Yes;Yes;No;No;No;No;Agree;Agree;Disagree;Strongly Disagree;Agree;Neutral;No; ; ;Strongly Disagree;Strongly Agree;Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;2;8000;13000;11000;41;Married;2;Other;Black;Over $110,000;Female
29;Yes;Almost never;Disagree;Neutral;Disagree;Strongly Disagree;Disagree;Disagree;Strongly Agree;Strongly Disagree;6;No;No;No;No;Yes;No;No;No;No;Strongly Disagree;Neutral;Neutral;Strongly Disagree;Neutral;Strongly Agree;No; ; ;Neutral;Neutral;Agree;Strongly Disagree;Strongly Agree;Strongly Disagree;5;10000;16000;15000;33;Married;0;Graduate degree;Caucasian;$95,000 - $110,000;Male
30;Yes;Almost never;Disagree;Disagree;Disagree;Disagree;Neutral;Strongly Disagree;Disagree;Agree;6;No;No;Yes;Yes;Yes;Yes;No;No;No;Agree;Strongly Disagree;Neutral;Neutral;Strongly Agree;Agree;Yes;Yes;Somewhat better;Strongly Agree;Agree;Strongly Disagree;Agree;Agree;Strongly Disagree;3;5000;10000;7000;34;Separated;2;High school;Black;$50,000 - $65,000;Male
31;Yes;Almost never;Disagree;Neutral;Disagree;Neutral;Strongly Agree;Neutral;Disagree;Neutral;6;No;No;Yes;Yes;No;No;No;No;No;Strongly Disagree;Agree;Disagree;Neutral;Agree;Strongly Agree;No; ; ;Disagree;Strongly Agree;Agree;Strongly Disagree;Agree;Neutral;1; ;10000;8000;36;Single; ;Less than high school;Caucasian;Under $35,000;Male
32;Yes;Occasionally;Neutral;Neutral;Neutral;Disagree;Strongly Agree;Neutral;Strongly Agree;Agree;8;No;No;No;No;No;No;No;No;No;Strongly Disagree;Strongly Agree;Agree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Neutral;Strongly Agree;Disagree;Strongly Disagree;1;5000;11000;9000;26;Married;2;Less than high school;Black;$35,000 - $50,000;Male
33;Yes;Occasionally;Neutral;Neutral;Neutral;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;7;No;No;No;Yes;Yes;No;Yes;No;No;Neutral;Agree;Disagree;Disagree;Neutral;Strongly Agree;No; ; ;Neutral;Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;1;7000;11000;9000;38;Separated;1;Some college;Asian;$80,000 - $95,000;Male
34;Yes;Often;Agree;Strongly Agree;Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Agree;11;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Disagree;Disagree;Strongly Disagree;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Neutral;Strongly Agree;Neutral;5;5000;10000;7000;46;Married;2;Less than high school;Caucasian;$50,000 - $65,000;Female
35;Yes;Never;Strongly Disagree;Disagree;Strongly Disagree;Disagree;Strongly Agree;Disagree;Neutral;Strongly Disagree;4;No;No;No;Yes;Yes;Yes;No;No;No;Strongly Agree;Agree;Neutral;Disagree;Agree;Strongly Agree;No; ; ;Agree;Strongly Agree;Disagree;Disagree;Strongly Agree;Agree;1;10000;14000;12000;36;Single; ;Some college;Caucasian;$80,000 - $95,000;Male
36;Yes;Occasionally;Neutral;Agree;Neutral;Strongly Disagree;Agree;Strongly Disagree;Disagree;Agree;6;No;No;No;No;Yes;Yes;No;No;No;Strongly Agree;Agree;Neutral;Strongly Disagree;Agree;Agree;No; ; ;Disagree;Strongly Agree;Strongly Agree;Neutral;Neutral;Agree;1;14000;19000;17000;32;Single; ;Some college;Caucasian;$65,000 - $80,000;Male
37;Yes;Almost never;Disagree;Disagree;Disagree;Neutral;Strongly Disagree;Neutral;Strongly Disagree;Neutral;4;No;No;Yes;No;No;Yes;No;No;No;Strongly Agree;Neutral;Neutral;Disagree;Agree;Strongly Agree;No; ; ;Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Agree;Strongly Disagree;4;12000;16000;14000;43;Married;1;Undergraduate degree;Black;Over $110,000;Male
38;Yes;Often;Agree;Strongly Agree;Agree;Neutral;Strongly Disagree;Disagree;Neutral;Strongly Agree;7;No;No;No;No;Yes;No;No;No;No;Disagree;Agree;Neutral;Disagree;Neutral;Strongly Agree;No; ; ;Strongly Disagree;Agree;Strongly Disagree;Disagree;Strongly Agree;Strongly Disagree;4;21000;27000;25000;36;Married;0;Other;Caucasian;Over $110,000;Male
39;Yes;Often;Agree;Strongly Agree;Agree;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;12;No;No;Yes;No;Yes;No;No;No;No;Agree;Disagree;Agree;Agree;Agree;Agree;No; ; ;Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Disagree;1;4000;10000;8000;23;Single; ;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
40;Yes;Almost never;Disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Strongly Agree;3;No;No;Yes;No;No;Yes;No;No;No;Strongly Agree;Neutral;Disagree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Disagree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;2;6000;10000;8000;29;Single; ;Other;Black;Under $35,000;Female
41;Yes;Never;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Neutral;Agree;Strongly Agree;3;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Neutral;Strongly Disagree;Strongly Disagree;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Disagree;6;14000;19000;17000;41;Divorced;3;Some college;Hispanic;$95,000 - $110,000;Male
42;Yes;Occasionally;Neutral;Neutral;Neutral;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;Neutral;7;No;No;No;No;No;Yes;No;No;No;Neutral;Agree;Agree;Neutral;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Disagree;Disagree;Strongly Agree;Strongly Disagree;4;5000;10000;8000;23;Single; ;Some college;Hispanic;$65,000 - $80,000;Female
43;Yes;Often;Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Strongly Agree;11;Yes;No;Yes;Yes;Yes;No;No;No;No;Strongly Agree;Disagree;Strongly Agree;Neutral;Agree;Strongly Agree;Yes;Yes;A great deal better;Disagree;Strongly Agree;Disagree;Disagree;Agree;Agree;3;13000;18000;15000;40;Single; ;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
44;Yes;Almost never;Disagree;Disagree;Disagree;Strongly Disagree;Agree;Neutral;Strongly Disagree;Strongly Agree;7;Yes;No;No;Yes;No;No;No;No;No;Strongly Agree;Disagree;Agree;Disagree;Agree;Strongly Agree;No; ; ;Disagree;Strongly Agree;Disagree;Strongly Agree;Agree;Strongly Disagree;4;16000;21000;19000;35;Married;1;Other;Black;Over $110,000;Male
45;Yes;Often;Agree;Strongly Agree;Agree;Strongly Agree;Disagree;Neutral;Disagree;Disagree;6;No;No;Yes;Yes;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Disagree;Strongly Disagree;Agree;Neutral;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Disagree;9;14000;19000;17000;41;Married;2;Graduate degree;Caucasian;Over $110,000;Male
46;Yes;Often;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;12;No;No;No;Yes;Yes;Yes;No;No;No;Agree;Neutral;Agree;Agree;Agree;Neutral;No; ; ;Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;1; ;10000;8000;50;Single; ;Graduate degree;Asian;$50,000 - $65,000;Male
47;Yes;Very often;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Disagree;7;No;No;No;Yes;Yes;No;No;Yes;No;Strongly Agree;Agree;Agree;Strongly Disagree;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neutral;Neutral;2;10000;16000;14000;27;Single; ;Some college;Caucasian;$65,000 - $80,000;Male
48;Yes;Often;Neutral;Strongly Agree;Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Agree;13;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Neutral;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Yes;Yes;Somewhat better;Strongly Disagree;Neutral;Neutral;Agree;Strongly Agree;Strongly Disagree;2;13000;18000;14000;39;Married;2;Other;Caucasian;Over $110,000;Female
49;Yes;Occasionally;Disagree;Agree;Neutral;Neutral;Neutral;Strongly Disagree;Neutral;Strongly Agree;3;No;No;No;Yes;No;Yes;No;No;No;Strongly Agree;Neutral;Agree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Agree;Agree;Agree;Strongly Agree;Neutral;Strongly Disagree;7;9000;14000;12000;47;Married;1;Other;Black;Over $110,000;Male
50;Yes;Never;Disagree;Disagree;Strongly Disagree;Strongly Disagree;Agree;Agree;Agree;Strongly Agree;5;No;No;No;No;No;No;No;No;No;Disagree;Disagree;Agree;Disagree;Strongly Agree;Agree;No; ; ;Disagree;Agree;Strongly Disagree;Strongly Disagree;Disagree;Strongly Disagree;2; ;10000;8000;34;Single; ;Undergraduate degree;Caucasian;Under $35,000;Female
51;Yes;Often;Agree;Strongly Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Neutral;Neutral;11;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Disagree;Disagree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Agree;Agree;Agree;Disagree;10;12000;16000;15000;32;Single; ;Other;Asian;Over $110,000;Female
52;Yes;Occasionally;Neutral;Neutral;Neutral;Disagree;Strongly Agree;Agree;Neutral;Strongly Agree;5;No;No;No;Yes;Yes;Yes;No;No;No;Strongly Disagree;Disagree;Neutral;Strongly Disagree;Strongly Agree;Strongly Agree;Yes;Yes;A great deal better;Disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;1;10000;13000;10000;28;Single; ;Some college;Caucasian;$80,000 - $95,000;Male
53;Yes;Almost never;Neutral;Disagree;Neutral;Disagree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Agree;3;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Yes;Yes;A great deal better;Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Agree;Strongly Disagree;7;1000;10000;7000;32;Divorced;2;Undergraduate degree;Black;Under $35,000;Female
54;Yes;Almost never;Disagree;Neutral;Disagree;Strongly Disagree;Strongly Agree;Disagree;Disagree;Neutral;5;No;No;No;No;No;No;No;No;No;Strongly Disagree;Neutral;Strongly Disagree;Disagree;Agree;Agree;No; ; ;Strongly Agree;Neutral;Strongly Disagree;Strongly Disagree;Agree;Disagree;7;3000;10000;8000;28;Single; ;High school;Black;Under $35,000;Male
55;Yes;Occasionally;Neutral;Neutral;Neutral;Neutral;Agree;Disagree;Strongly Disagree;Neutral;8;No;No;No;Yes;No;No;No;No;No;Strongly Agree;Disagree;Neutral;Strongly Disagree;Strongly Agree;Neutral;Yes;Yes;A great deal better;Neutral;Strongly Agree;Disagree;Neutral;Agree;Disagree;1;14000;19000;16000;30;Married;1;Graduate degree;Caucasian;Over $110,000;Male
56;Yes;Almost never;Disagree;Neutral;Disagree;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Neutral;6;No;No;No;No;Yes;No;No;No;No;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;Agree;Neutral;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;4;7000;11000;9000;40;Widowed;2;Some college;Caucasian;$35,000 - $50,000;Male
57;Yes;Very often;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Neutral;Strongly Disagree;Disagree;Strongly Agree;13;No;No;Yes;No;Yes;No;No;No;No;Neutral;Agree;Agree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Agree;Strongly Agree;Neutral;Strongly Agree;Neutral;Strongly Disagree;3;7000;12000;10000;27;Single; ;Graduate degree;Caucasian;Under $35,000;Male
58;Yes;Never;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;Agree;Disagree;Strongly Disagree;Strongly Disagree;2;No;No;No;Yes;Yes;Yes;No;No;No;Agree;Neutral;Agree;Disagree;Strongly Agree;Agree;Yes;Yes;A great deal better;Agree;Neutral;Strongly Disagree;Strongly Agree;Neutral;Disagree;3;5000;12000;9000;42;Married;2;Less than high school;Caucasian;$50,000 - $65,000;Male
59;Yes;Occasionally;Neutral;Agree;Neutral;Agree;Strongly Agree;Neutral;Strongly Disagree;Strongly Agree;6;Yes;Yes;No;No;No;No;No;Yes;No;Agree;Neutral;Agree;Neutral;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Disagree;Strongly Agree;Neutral;5;5000;10000;8000;35;Divorced;3;Graduate degree;Caucasian;Under $35,000;Male
60;Yes;Often;Agree;Agree;Agree;Neutral;Neutral;Disagree;Strongly Disagree;Agree;5;No;No;No;No;Yes;No;No;No;Yes;Agree;Agree;Agree;Neutral;Agree;Neutral;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;4;6000;11000;9000;41;Single; ;High school;Black;$80,000 - $95,000;Male
61;Yes;Often;Neutral;Strongly Agree;Agree;Agree;Disagree;Neutral;Strongly Disagree;Agree;5;No;No;No;Yes;No;No;No;No;No;Neutral;Neutral;Strongly Agree;Neutral;Agree;Strongly Agree;Yes;Yes;Much better;Agree;Strongly Agree;Neutral;Strongly Disagree;Agree;Strongly Disagree;1;13000;19000;15000;34;Single; ;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
62;Yes;Very often;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Disagree;Neutral;Disagree;Strongly Agree;13;No;No;No;No;No;No;No;No;No;Agree;Neutral;Agree;Disagree;Neutral;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Agree;Disagree;Disagree;Strongly Disagree;5;13000;19000;17000;33;Married;3;Undergraduate degree;Hispanic;$95,000 - $110,000;Male
63;Yes;Almost never;Disagree;Neutral;Disagree;Neutral;Strongly Disagree;Disagree;Strongly Disagree;Disagree;6;No;No;No;Yes;Yes;No;No;Yes;No;Neutral;Neutral;Agree;Neutral;Strongly Agree;Strongly Agree;Yes;Yes;Much better;Strongly Agree;Strongly Agree;Strongly Disagree;Neutral;Agree;Strongly Disagree;7;16000;20000;17000;32;Single; ;Graduate degree;Caucasian;Over $110,000;Female
64;Yes;Almost never;Disagree;Neutral;Disagree;Strongly Disagree;Strongly Agree;Disagree;Strongly Agree;Strongly Disagree;4;No;No;No;Yes;Yes;Yes;No;No;Yes;Strongly Agree;Strongly Agree;Neutral;Disagree;Strongly Agree;Agree;No; ; ;Disagree;Neutral;Strongly Agree;Strongly Disagree;Strongly Agree;Neutral;4;19000;26000;24000;52;Married;2;Graduate degree;Caucasian;Over $110,000;Male
65;Yes;Almost never;Disagree;Neutral;Disagree;Disagree;Agree;Neutral;Disagree;Disagree;6;No;No;No;No;Yes;No;No;No;No;Neutral;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Yes;Yes;Much better;Strongly Disagree;Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;1;6000;11000;8000;42;Married;2;Graduate degree;Caucasian;$50,000 - $65,000;Male
